mushroomName,edibility,commonName,preferredSearch,season,similarSpecies,description
Boletus aereus,yes,Bronze Bolete,,"summer, fall","Boletus reticulatus, Boletus pinophilus, Boletus Edulis","Boletus aereus, the dark cep or bronze bolete, is a highly prized and much sought-after edible mushroom in the family Boletaceae. The bolete is widely consumed in Spain (Basque Country and Navarre), France, Italy, Greece, and generally throughout the Mediterranean. Described as a new species in 1789 by French mycologist Pierre Bulliard, it is closely related to several other European boletes, including B. reticulatus, B. pinophilus, and the popular B. edulis. Some populations in North Africa have been classified as a separate species, B. mamorensis, although they are phylogenetically very close.
The fungus predominantly grows in habitats with broad-leaved trees and shrubs, forming symbiotic ectomycorrhizal associations in which the underground roots of these plants are enveloped with sheaths of fungal tissue (hyphae). The cork oak (Quercus suber) is a key host. The fungus produces spore-bearing fruit bodies above ground in summer and autumn. The fruit body has a large dark brown cap, which can reach 30 cm (12 in) in diameter. Like other boletes, B. aereus has tubes extending downward from the underside of the cap, rather than gills; spores escape at maturity through the tube openings, or pores. The pore surface of the fruit body is whitish when young, but ages to a greenish-yellow. The squat brown stipe, or stem, is up to 15 cm (6 in) tall and 10 cm (4 in) thick and partially covered with a raised network pattern, or reticulation."
Cantharellus cibarius,yes,Chanterelle,,"summer, fall","Hygrophoropsis aurantiaca, Omphalotus illudens, Inocybe erubescens","Chanterelle is the common name of fungi in the genus Cantharellus. They are among the most popularly eaten species of wild mushrooms. They are orange, yellow or white, meaty and funnel-shaped. On the lower surface, underneath the smooth cap, most species have gill-like ridges that run almost all the way down its stipe, which tapers down seamlessly from the cap. Many species emit a fruity aroma, reminiscent of apricots, and often have a mildly peppery taste (hence its German name, Pfifferling)."
Lepiota cristata,no,stinking parasol,,"summer, fall","Macrolepiota procera, Chlorophyllum molybdites, Leucoagaricus brunnea, Leucoagaricus americanus, Chlorophyllum rhacodes","Lepiota cristata, commonly known as the stinking dapperling or the stinking parasol, is an agaric and possibly poisonous mushroom in the family Agaricaceae. A common and widespread species—one of the most widespread fungi in the genus Lepiota—it has been reported from Europe, northern Asia, North America, and New Zealand. It fruits on the ground in disturbed areas, such as lawns, path and road edges, parks, and gardens. The species produces fruit bodies characterized by the flat, reddish-brown concentric scales on the caps, and an unpleasant odour resembling burnt rubber. Similar Lepiota species can sometimes be distinguished from L. cristata by differences in cap colour, stipe structure, or odour, although some species can only be reliably distinguished through the use of microscopy."
Clitocybe nuda,yes*,BLEWIT,,,"Clitocybe saeva, Clitocybe irina, Clitocybe glaucocana, Clitocybe bartelliae, Clitocybe tarda","Clitocybe nuda, commonly known as the wood blewit  and alternately described as Lepista nuda, is an edible mushroom native to Europe and North America. Described by Pierre Bulliard in 1790, it was also known as Tricholoma nudum for many years. It is found in both coniferous and deciduous woodlands. It is a fairly distinctive mushroom that is widely eaten, though there is some caution about edibility. Nevertheless, it has been cultivated in Britain, the Netherlands and France."
Cortinarius caperatus,yes,GYPSY MUSHROOM,,,"Agrocybe praecox, Phaeolepiota aurea, Inocybe erubescens, Cortinarius traganus","Cortinarius caperatus, commonly known as the gypsy mushroom, is an edible mushroom of the genus Cortinarius found in northern regions of Europe and North America. It was known as Rozites caperata for many years, before genetic studies revealed it lay within the large genus Cortinarius. The fruit bodies appear in autumn in coniferous and beech woods, as well as heathlands in late summer and autumn. The ochre-coloured cap is up to 10 cm (4 in) across and has a fibrous surface. The clay-coloured gills are free—they are not attached to the stipe under the cap—and the stipe is whitish with a whitish ring. The flesh has a mild smell and taste.
Popular with mushroom foragers, C. caperatus is picked seasonally in many parts of Europe. Although mild-tasting and highly regarded, the mushrooms are often infested with maggots. In central Europe, old specimens could be confused with the poisonous Inocybe erubescens in summer. Fruiting bodies of C. caperatus have been found to bioaccumulate mercury and radioactive isotopes of caesium.

"
Craterellus cornucopioides,,,,,,"Craterellus cornucopioides, or horn of plenty, is an edible mushroom. It is also known as the black chanterelle, black trumpet, trompette de la mort (French), trombetta dei morti (Italian) or trumpet of the dead.
The Cornucopia, in Greek mythology, referred to the magnificent horn of the nymph Amalthea's goat (or of herself in goat form), that filled itself with whatever meat or drink its owner requested. It has become the symbol of plenty.
A possible origin for the name ""trumpet of the dead"" is that the growing mushrooms were seen as being played as trumpets by dead people under the ground."
Grifola frondosa,yes,HEN OF THE WOODS,,fall,"Polyporus umbellatus, Meripilus giganteus","Grifola frondosa is a polypore mushroom that grows in clusters at the base of trees, particularly oaks. The mushroom is commonly known among English speakers as hen of the woods, hen-of-the-woods, ram's head and sheep's head. It is typically found in late summer to early autumn. In the United States' supplement market, as well as in Asian grocery stores, the mushroom is known by its Japanese name maitake (舞茸, ""dancing mushroom""). Throughout Italian American communities in the northeastern United States, it is commonly known as the signorina mushroom. G. frondosa should not be confused with Laetiporus sulphureus, another edible bracket fungus that is commonly called chicken of the woods or ""sulphur shelf"". Like all polypores, the fungus becomes inedible when older, because it is then too tough to eat.
The fungus is native to China, the northeastern part of Japan and North America, and is prized in traditional Chinese and Japanese herbology as a medicinal mushroom. It is widely eaten in Japan, and its popularity in western cuisine is growing, although the mushroom has been reported to cause allergic reactions in rare cases."
Gyromitra esculenta,yes**,False Morel,,,"Morchella, Verpa bohemica, Verpa digitaliformis, Verpa conica","Gyromitra esculenta , is an ascomycete fungus from the genus Gyromitra, widely distributed across Europe and North America. It normally fruits in sandy soils under coniferous trees in spring and early summer. The fruiting body, or mushroom, is an irregular brain-shaped cap dark brown in colour that can reach 10 cm (4 in) high and 15 cm (6 in) wide, perched on a stout white stipe up to 6 cm (2.4 in) high.
Although potentially fatal if eaten raw, Gyromitra esculenta is a popular delicacy in Scandinavia, Eastern Europe, and the upper Great Lakes region of North America. Although popular in some districts of the eastern Pyrenees, it is prohibited from sale to the public in Spain. It may be sold fresh in Finland, but it must be accompanied by warnings and instructions on correct preparation.
Although it is still commonly parboiled before preparation, evidence suggests that even this procedure may not make Gyromitra esculenta entirely safe for consumption. When consumed, the principal active agent, gyromitrin, is hydrolyzed into the toxic compound monomethylhydrazine (MMH). The toxin affects the liver, central nervous system, and sometimes the kidneys. Symptoms of poisoning involve vomiting and diarrhea several hours after consumption, followed by dizziness, lethargy and headache. Severe cases may lead to delirium, coma and death after five to seven days."
Hericium erinaceus,,,,,,"Hericium erinaceus (also called lion's mane mushroom, monkey head, bearded tooth mushroom, satyr's beard, bearded hedgehog mushroom, pom pom mushroom, or bearded tooth fungus) is an edible and medicinal mushroom belonging to the tooth fungus group. Native to North America, Europe and Asia it can be identified by its long spines (greater than 1 cm length), its appearance on hardwoods and its tendency to grow a single clump of dangling spines. Hericium erinaceus can be mistaken for other species of Hericium, all popular edibles, which grow across the same range. In the wild, these mushrooms are common during late summer and fall on hardwoods, particularly American beech."
Lentinula edodes,yes,Shiitake,,,,"The shiitake (; Japanese: [ɕiːtake] ( listen) Lentinula edodes) is an edible mushroom native to East Asia, which is cultivated and consumed in many Asian countries. It is considered a medicinal mushroom in some forms of traditional medicine."
